timestamp,city,temperature,description
2026-03-25T10:49:28.234Z,Antalya,13.33,light rain
2026-03-25T13:09:40.721Z,Antalya,16.33,broken clouds
2026-03-25T14:59:10.196Z,Antalya,14.73,overcast clouds
2026-03-25T17:01:44.296Z,Antalya,13.94,light rain
2026-03-25T18:55:13.810Z,Antalya,13.33,broken clouds
2026-03-25T20:38:23.780Z,Antalya,13.33,broken clouds
2026-03-25T22:35:32.630Z,Antalya,13.33,light rain
2026-03-26T02:22:03.575Z,Antalya,12.33,scattered clouds
2026-03-26T05:41:10.861Z,Antalya,15.6,few clouds
2026-03-26T07:08:34.409Z,Antalya,17.33,scattered clouds
2026-03-26T08:55:48.901Z,Antalya,19.33,scattered clouds
2026-03-26T10:52:12.789Z,Antalya,17.52,clear sky
2026-03-26T13:15:11.708Z,Antalya,19.33,few clouds
2026-03-26T15:04:02.964Z,Antalya,18.33,few clouds
2026-03-26T17:00:59.486Z,Antalya,17.33,few clouds
2026-03-26T19:05:16.546Z,Antalya,15.33,clear sky
2026-03-26T20:35:52.063Z,Antalya,13.33,clear sky
2026-03-26T22:29:39.898Z,Antalya,12.33,clear sky
2026-03-27T02:23:13.384Z,Antalya,9.33,few clouds
2026-03-27T05:42:09.691Z,Antalya,12.33,scattered clouds
2026-03-27T07:06:59.017Z,Antalya,16.33,scattered clouds
2026-03-27T08:53:20.246Z,Antalya,16.07,clear sky
2026-03-27T10:49:58.268Z,Antalya,19.33,scattered clouds
2026-03-27T13:05:38.481Z,Antalya,16.69,overcast clouds
2026-03-27T14:49:31.040Z,Antalya,16.76,broken clouds
2026-03-27T16:55:04.021Z,Antalya,16.4,broken clouds
2026-03-27T18:55:25.535Z,Antalya,16.33,broken clouds
2026-03-27T20:38:07.227Z,Antalya,14.33,broken clouds
2026-03-27T22:32:26.273Z,Antalya,14.33,scattered clouds
2026-03-28T02:06:26.163Z,Antalya,14.48,scattered clouds
2026-03-28T05:20:50.441Z,Antalya,14.78,light rain
2026-03-28T06:58:48.869Z,Antalya,16.33,broken clouds
2026-03-28T08:39:01.641Z,Antalya,16.48,overcast clouds
2026-03-28T10:32:12.853Z,Antalya,16.81,overcast clouds
2026-03-28T12:54:37.496Z,Antalya,16.13,overcast clouds
2026-03-28T14:31:25.045Z,Antalya,14.86,moderate rain
2026-03-28T16:34:08.061Z,Antalya,13.14,light rain
2026-03-28T18:40:19.339Z,Antalya,13.21,light rain
2026-03-28T20:29:58.303Z,Antalya,12.33,shower rain
2026-03-28T22:28:43.793Z,Antalya,13.72,light rain
2026-03-29T02:25:37.735Z,Antalya,12.24,overcast clouds
2026-03-29T05:42:52.964Z,Antalya,13.53,broken clouds
2026-03-29T07:02:52.645Z,Antalya,13.33,scattered clouds
2026-03-29T08:39:38.220Z,Antalya,16.33,light rain
2026-03-29T10:33:06.076Z,Antalya,15.94,light rain
2026-03-29T12:55:25.529Z,Antalya,17.33,broken clouds
2026-03-29T14:33:49.302Z,Antalya,16.55,broken clouds
2026-03-29T16:35:05.519Z,Antalya,15.72,broken clouds
2026-03-29T18:41:51.474Z,Antalya,14.33,light rain
2026-03-29T20:31:57.864Z,Antalya,14.16,overcast clouds
2026-03-29T22:30:36.462Z,Antalya,12.33,clear sky
2026-03-30T02:28:22.697Z,Antalya,12.33,clear sky
2026-03-30T05:58:27.870Z,Antalya,13.77,clear sky
2026-03-30T07:56:08.900Z,Antalya,17.33,few clouds
2026-03-30T09:15:19.803Z,Antalya,15.35,clear sky
2026-03-30T11:01:52.463Z,Antalya,15.94,clear sky
2026-03-30T13:18:51.386Z,Antalya,15.87,clear sky
2026-03-30T15:02:36.221Z,Antalya,16.33,broken clouds
2026-03-30T16:55:31.350Z,Antalya,16.33,broken clouds
2026-03-30T18:59:32.285Z,Antalya,16.33,broken clouds
2026-03-30T20:43:23.038Z,Antalya,14.33,scattered clouds
2026-03-30T22:35:33.698Z,Antalya,13.92,scattered clouds
